
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,375.0
3-5,PICK,-376.0
3-5,DROP,377.0
3-5,PICK,-377.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,376.0
3-5,PICK,-377.0
3-5,DROP,377.0
3-5,PICK,-376.0
3-5,DROP,377.0
3-5,PICK,-377.0
3-5,DROP,377.0
3-5,PICK,-377.0
3-5,DROP,376.0
3-5,PICK,-376.0
3-5,DROP,377.0
3-5,PICK,-377.0
3-5,DROP,376.0
3-5,PICK,-377.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,119.0
3-5,PICK,-119.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,120.0
3-5,PICK,-119.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,119.0
3-5,PICK,-119.0
3-5,DROP,119.0
3-5,PICK,-119.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,119.0
3-5,PICK,-119.0
3-5,DROP,120.0
3-5,PICK,-121.0
3-5,DROP,121.0
3-5,PICK,-120.0
3-5,DROP,119.0
3-5,PICK,-121.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,120.0
3-5,PICK,-120.0
3-5,DROP,44.0
3-5,PICK,-44.0
3-5,DROP,43.0
3-5,PICK,-43.0
3-5,DROP,44.0
3-5,PICK,-44.0
3-5,DROP,44.0
3-5,PICK,-45.0
3-5,DROP,44.0
3-5,PICK,-43.0
3-5,DROP,44.0
3-5,PICK,-45.0
3-5,DROP,44.0
3-5,PICK,-44.0
3-5,DROP,45.0
3-5,PICK,-44.0
3-5,DROP,45.0
3-5,PICK,-46.0
3-5,DROP,45.0
3-5,PICK,-45.0
3-5,DROP,44.0
3-5,PICK,-43.0
3-5,DROP,43.0
3-5,PICK,-44.0
3-5,DROP,44.0
3-5,PICK,-44.0
3-5,DROP,45.0
3-5,PICK,-44.0
3-5,DROP,43.0
3-5,PICK,-44.0
3-5,DROP,15.0
3-5,PICK,-15.0
3-5,DROP,15.0
3-5,PICK,-13.0
3-5,DROP,13.0
3-5,PICK,-14.0
3-5,DROP,12.0
3-5,PICK,-12.0
3-5,DROP,13.0
3-5,PICK,-13.0
3-5,DROP,14.0
3-5,PICK,-14.0
3-5,DROP,14.0
3-5,PICK,-13.0
3-5,DROP,14.0
3-5,PICK,-14.0
3-5,DROP,13.0
3-5,PICK,-13.0
3-5,DROP,13.0
3-5,PICK,-14.0
3-5,DROP,14.0
3-5,PICK,-14.0
3-5,DROP,12.0
3-5,PICK,-13.0
3-5,DROP,13.0
3-5,PICK,-14.0
3-5,DROP,15.0
3-5,PICK,-15.0
3-5,DROP,14.0
3-5,PICK,-14.0
3-5,DROP,14.0
3-5,PICK,-13.0
3-5,DROP,13.0
3-5,PICK,-14.0
3-5,DROP,13.0
3-5,PICK,-13.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,375.0,0.0,0.0,375.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,377.0,0.0,0.0,377.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,377.0,0.0,0.0,377.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,377.0,0.0,0.0,377.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,377.0,0.0,0.0,377.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-376.0,0.0,0.0,376.0,0.0
3-5,DROP,1.0,377.0,0.0,0.0,377.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,376.0,0.0,0.0,376.0,0.0
3-5,PICK,1.0,-377.0,0.0,0.0,377.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,119.0,0.0,0.0,119.0,0.0
3-5,PICK,1.0,-119.0,0.0,0.0,119.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-119.0,0.0,0.0,119.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,119.0,0.0,0.0,119.0,0.0
3-5,PICK,1.0,-119.0,0.0,0.0,119.0,0.0
3-5,DROP,1.0,119.0,0.0,0.0,119.0,0.0
3-5,PICK,1.0,-119.0,0.0,0.0,119.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,119.0,0.0,0.0,119.0,0.0
3-5,PICK,1.0,-119.0,0.0,0.0,119.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-121.0,0.0,0.0,121.0,0.0
3-5,DROP,1.0,121.0,0.0,0.0,121.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,119.0,0.0,0.0,119.0,0.0
3-5,PICK,1.0,-121.0,0.0,0.0,121.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,120.0,0.0,0.0,120.0,0.0
3-5,PICK,1.0,-120.0,0.0,0.0,120.0,0.0
3-5,DROP,1.0,44.0,0.0,0.0,44.0,0.0
3-5,PICK,1.0,-44.0,0.0,0.0,44.0,0.0
3-5,DROP,1.0,43.0,0.0,0.0,43.0,0.0
3-5,PICK,1.0,-43.0,0.0,0.0,43.0,0.0
3-5,DROP,1.0,44.0,0.0,0.0,44.0,0.0
3-5,PICK,1.0,-44.0,0.0,0.0,44.0,0.0
3-5,DROP,1.0,44.0,0.0,0.0,44.0,0.0
3-5,PICK,1.0,-45.0,0.0,0.0,45.0,0.0
