"scope","request_id","user_id","start_time","region"
"33467","8de2574f-6aa0-457a-9b21-7052d02d","a363cf62-b6c4-424e-89c2-b0facedc",2021-06-10 15:10:23,"[{""end_time"":1623309023640,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623309023640,""status"":""ENTER""},{""end_time"":1623309023640,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623309023640,""status"":""ENTER""}]"
"33467","8f235e5f-7825-4aae-b508-f99fba97","ee8682e2-2f8c-4b17-8006-4e816a11",2021-06-10 20:03:18,"[{""end_time"":1623326598140,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623326598140,""status"":""ENTER""}]"
"33467","91d32dd5-4b0c-4c09-9da8-c40474d8","\N",2021-06-10 10:45:29,"[{""end_time"":1623293129991,""entrance_id"":""33497"",""entrance_type"":""REGION"",""region_id"":""33489"",""region_type"":""DEFAULT"",""start_time"":1623293129991,""status"":""ENTER""},{""end_time"":1623293129991,""entrance_id"":""33497"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623293129991,""status"":""ENTER""}]"
"33467","925eaa87-5d03-4072-999a-12a80b9c","ea7e497b-4200-438d-9002-505b2c7a",2021-06-10 16:40:25,"[{""end_time"":1623314425011,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623314425011,""status"":""ENTER""}]"
"33467","92a1ae00-1475-4e0d-8940-f1b18fe9","6c38d705-75a9-4797-afea-00e766a3",2021-06-10 13:43:25,"[{""end_time"":1623303805749,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623303805749,""status"":""ENTER""},{""end_time"":1623303805749,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623303805749,""status"":""ENTER""}]"
"33467","9339a2f8-f85d-4010-8976-8944a6be","80ce019f-321a-4400-a6e7-9f46bd6d",2021-06-10 18:17:20,"[{""end_time"":1623320240664,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623320240664,""status"":""ENTER""},{""end_time"":1623320240664,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623320240664,""status"":""ENTER""}]"
"33467","9359d440-f449-489d-8ef5-e2d0a695","97aa5ddd-6b6b-4af1-b645-5acc2046",2021-06-10 16:47:30,"[{""end_time"":1623314850770,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623314850770,""status"":""ENTER""},{""end_time"":1623314850770,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623314850770,""status"":""ENTER""}]"
"33467","9362288c-fb3b-4934-965b-f19613d7","fea2e44d-7a83-4484-b1e5-e8d67b51",2021-06-10 16:40:15,"[{""end_time"":1623314415322,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623314415322,""status"":""ENTER""}]"
"33467","93a84313-2544-4c87-b648-d64aaf4c","ea7e497b-4200-438d-9002-505b2c7a",2021-06-10 16:19:21,"[{""end_time"":1623313161855,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623313161855,""status"":""ENTER""}]"
"33467","93cbec2c-eeb8-4fb7-b233-077c506c","64b391b2-b685-4ed3-8127-0197341a",2021-06-10 10:43:08,"[{""end_time"":1623292988436,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623292988436,""status"":""ENTER""}]"
