1-2,378,put,378,376,377,377,375,376,376,376,376,377
1-2,378,pick,378,377,377,377,375,376,376,376,378,377
1-4,14,put,15,13,13,14,13,14,14,14,15,14
1-4,14,pick,14,13,13,14,13,14,13,15,15,14
1-4,45,put,45,44,45,45,43,45,45,43,45,44
1-4,45,pick,44,44,45,44,44,44,44,43,44,44
1-4,121,put,120,120,123,120,119,120,120,120,120,120
1-4,121,pick,120,121,121,120,119,120,121,120,122,120
1-4,378,put,378,378,378,376,376,377,376,379,376,379
1-4,378,pick,378,377,377,377,376,375,377,377,377,378
1-5,14,put,13,13,15,14,13,13,13,13,14,15
1-5,14,pick,13,13,16,12,13,13,14,13,16,15
1-5,45,put,45,44,44,46,46,44,45,45,44,46
1-5,45,pick,44,45,45,46,46,44,44,45,45,45
1-5,121,put,120,121,121,119,121,121,120,121,120,122
1-5,121,pick,120,120,121,120,122,121,121,121,120,121
1-5,378,put,376,377,377,377,376,378,378,377,379,378
1-5,378,pick,376,376,377,378,376,378,378,375,379,378
1-8,14,put,14,14,15,13,15,15,14,14,14,14
1-8,14,pick,14,14,15,13,15,14,14,14,14,14
1-8,45,put,45,45,44,45,45,45,45,43,46,45
1-8,45,pick,45,44,46,44,45,45,44,46,43,44
1-8,121,put,121,121,122,120,121,119,120,121,121,119
1-8,121,pick,121,121,122,120,120,120,121,120,121,119
1-8,378,put,378,379,376,377,376,376,375,380,377,376
1-8,378,pick,376,378,376,376,376,376,375,380,377,376
